ageb,residentes,permanecen_en_ageb,proporcion,CVE_AGEB,POBTOT
0,54,0,0,0023,0
1,0,0,NaN,0042,2
2,0,0,NaN,0076,4
3,0,0,NaN,0080,685
4,11,0,0,0095,1254
5,2,0,0,0108,243
6,20,0,0,0112,1114
7,16,0,0,0131,1008
8,0,0,NaN,0146,0
9,6,0,0,0150,4
10,0,0,NaN,0199,102
11,6,0,0,0216,198
12,0,0,NaN,0220,10
13,0,0,NaN,0273,11
14,0,0,NaN,0288,29
15,1,0,0,0292,0
16,0,0,NaN,0305,29
17,0,0,NaN,0324,0
18,1,0,0,0339,722
19,0,0,NaN,0343,2379
20,0,0,NaN,0358,433
21,13,0,0,0362,382
22,53,0,0,0377,7
23,2,0,0,0381,70
24,38,0,0,0396,1211
25,0,0,NaN,0409,1141
26,51,0,0,0413,9
27,15,0,0,0428,6
28,11,0,0,0432,116
29,0,0,NaN,0466,351
30,6,0,0,0470,1267
31,1,0,0,0502,2162
32,5,0,0,0517,2589
33,11,0,0,0521,1736
34,1,0,0,0536,150
35,11,0,0,0540,603
36,10,0,0,0555,2350
37,9,0,0,0574,1066
38,1,0,0,0593,4763
39,6,0,0,0606,561
40,7,0,0,0610,664
41,4,0,0,0625,398
42,12,0,0,0644,229
43,39,0,0,0659,97
44,7,0,0,0663,483
45,510,0,0,0678,862
46,14,0,0,0682,25
47,182,0,0,0697,249
48,5,0,0,0714,320
49,8,0,0,0729,990
50,0,0,NaN,0733,0
51,7,0,0,0748,68
52,50,0,0,0752,0
53,0,0,NaN,0767,0
54,19,0,0,0771,46
55,15,0,0,0786,166
56,17,0,0,0790,1667
57,0,0,NaN,0803,1001
58,1,0,0,0818,0
59,0,0,NaN,0837,0
60,3,0,0,0841,0
61,1,0,0,0894,612
62,678,0,0,0907,3149
63,14,0,0,0911,318
64,47,0,0,0926,54
65,0,0,NaN,0945,1128
66,0,0,NaN,0964,0
67,118,0,0,1055,101
68,4,0,0,1074,1089
69,18,0,0,1089,0
70,1,0,0,1093,33
71,0,0,NaN,1106,99
72,21,0,0,1110,261
73,13,0,0,1125,770
74,0,0,NaN,1144,3061
75,6,0,0,1159,401
76,6,0,0,1163,0
77,21,0,0,1178,0
78,0,0,NaN,1197,281
79,0,0,NaN,1214,0
80,1,0,0,1233,1
81,1,0,0,1248,0
82,1,0,0,1267,0
83,0,0,NaN,1271,2
84,26,0,0,1286,288
85,2,0,0,1290,186
86,0,0,NaN,1303,2271
87,1,0,0,1318,632
88,4,0,0,1322,7
89,22,0,0,1360,24
90,0,0,NaN,1375,7
91,1,0,0,1394,1427
92,2,0,0,1407,323
93,0,0,NaN,1411,770
94,0,0,NaN,1426,962
95,0,0,NaN,1430,2059
96,10,0,0,1445,1955
97,11,0,0,1464,328
98,7,0,0,1479,61
99,0,0,NaN,1746,4174
100,3,0,0,1750,2722
101,0,0,NaN,1799,2271
102,0,0,NaN,1835,2540
103,8,0,0,1854,1608
104,2,0,0,1869,2202
105,3,0,0,1873,2237
106,600,0,0,1888,1614
107,15,0,0,1905,1856
108,23,0,0,1924,1627
109,167,0,0,1939,1476
110,4,0,0,1943,1388
111,1,0,0,1958,1022
112,491,0,0,1996,823
113,2109,0,0,2000,1053
114,164,0,0,2015,1146
115,235,0,0,2049,1898
116,283,1,0.00353356890459,2068,1212
117,164,0,0,2072,1378
118,74,0,0,2087,853
119,157,0,0,2091,601
120,568,1,0.00176056338028,2195,2910
121,109,0,0,2208,1794
122,129,0,0,2246,14443
123,372,6,0.0161290322581,2250,6061
124,182,1,0.00549450549451,2265,2968
125,228,0,0,2299,2839
126,117,0,0,2335,6062
127,149,1,0.00671140939597,2354,3270
128,153,1,0.00653594771242,2373,3047
129,1108,12,0.0108303249097,2388,4185
130,150,0,0,2405,3421
131,403,0,0,2443,3672
132,118,1,0.00847457627119,2458,2511
133,47,0,0,2462,737
134,379,0,0,2477,2982
135,28,0,0,2481,870
136,55,0,0,2509,2279
137,142,0,0,2513,900
138,90,0,0,2528,5911
139,2131,0,0,2532,2541
140,3737,3,0.000802782981001,2547,2286
141,300,0,0,2551,2357
142,245,0,0,2566,18
143,712,0,0,2570,10
144,161,0,0,2585,5372
145,239,0,0,2602,177
146,242,0,0,2617,5748
147,677,0,0,2621,7410
148,187,0,0,2636,1851
149,328,1,0.0030487804878,2640,3360
150,282,0,0,2655,1860
151,182,0,0,2706,5435
152,401,0,0,2710,8006
153,60,0,0,2744,56
154,237,0,0,2763,7242
155,341,0,0,2778,4472
156,471,0,0,2852,1
157,194,0,0,2886,3806
158,166,0,0,2890,2769
159,127,0,0,2903,3088
160,167,0,0,2918,2212
161,1099,0,0,2922,1331
162,377,1,0.0026525198939,2937,1606
163,338,0,0,2941,1522
164,159,0,0,2956,2410
165,875,7,0.008,2960,1352
166,761,5,0.0065703022339,2975,2909
167,329,0,0,2994,1849
168,266,0,0,3009,846
169,503,1,0.00198807157058,3013,820
170,3100,18,0.0058064516129,3028,386
171,693,0,0,3032,726
172,1878,2,0.0010649627263,3047,1105
173,1158,8,0.00690846286701,3051,2855
174,694,0,0,3066,1730
175,29,0,0,3070,2254
176,1361,4,0.00293901542983,3085,2515
177,583,1,0.00171526586621,3225,2371
178,2335,0,0,3244,4564
179,263,0,0,3259,3904
180,191,0,0,3263,3766
181,145,0,0,3278,4110
182,1476,7,0.00474254742547,3282,1770
183,212,0,0,3297,5231
184,187,0,0,3314,2781
185,43,0,0,3329,1898
186,59,0,0,3333,2509
187,98,0,0,3348,2843
188,130,0,0,3352,126
189,86,2,0.0232558139535,3367,918
190,615,0,0,3371,2021
191,120,0,0,3386,1812
