ageb,residentes,permanecen_en_ageb,proporcion,CVE_AGEB,POBTOT
0,54,0,0,0023,0
1,0,0,NaN,0042,2
2,0,0,NaN,0076,4
3,0,0,NaN,0080,685
4,9,0,0,0095,1254
5,2,0,0,0108,243
6,23,0,0,0112,1114
7,18,0,0,0131,1008
8,0,0,NaN,0146,0
9,3,0,0,0150,4
10,0,0,NaN,0199,102
11,8,0,0,0216,198
12,0,0,NaN,0220,10
13,1,0,0,0273,11
14,0,0,NaN,0288,29
15,0,0,NaN,0292,0
16,1,0,0,0305,29
17,0,0,NaN,0324,0
18,2,0,0,0339,722
19,0,0,NaN,0343,2379
20,0,0,NaN,0358,433
21,13,0,0,0362,382
22,60,0,0,0377,7
23,1,0,0,0381,70
24,36,0,0,0396,1211
25,0,0,NaN,0409,1141
26,55,0,0,0413,9
27,14,0,0,0428,6
28,11,0,0,0432,116
29,0,0,NaN,0466,351
30,2,0,0,0470,1267
31,0,0,NaN,0502,2162
32,4,0,0,0517,2589
33,13,0,0,0521,1736
34,1,0,0,0536,150
35,12,0,0,0540,603
36,11,0,0,0555,2350
37,10,0,0,0574,1066
38,1,0,0,0593,4763
39,8,0,0,0606,561
40,7,0,0,0610,664
41,5,0,0,0625,398
42,11,0,0,0644,229
43,40,0,0,0659,97
44,5,0,0,0663,483
45,505,0,0,0678,862
46,14,0,0,0682,25
47,181,0,0,0697,249
48,6,0,0,0714,320
49,8,0,0,0729,990
50,0,0,NaN,0733,0
51,7,0,0,0748,68
52,46,0,0,0752,0
53,0,0,NaN,0767,0
54,18,0,0,0771,46
55,17,0,0,0786,166
56,14,0,0,0790,1667
57,0,0,NaN,0803,1001
58,2,0,0,0818,0
59,0,0,NaN,0837,0
60,3,0,0,0841,0
61,1,0,0,0894,612
62,677,0,0,0907,3149
63,15,0,0,0911,318
64,52,0,0,0926,54
65,0,0,NaN,0945,1128
66,0,0,NaN,0964,0
67,120,0,0,1055,101
68,4,0,0,1074,1089
69,17,0,0,1089,0
70,1,0,0,1093,33
71,0,0,NaN,1106,99
72,22,0,0,1110,261
73,13,0,0,1125,770
74,0,0,NaN,1144,3061
75,4,0,0,1159,401
76,4,0,0,1163,0
77,19,0,0,1178,0
78,0,0,NaN,1197,281
79,0,0,NaN,1214,0
80,0,0,NaN,1233,1
81,1,0,0,1248,0
82,1,0,0,1267,0
83,0,0,NaN,1271,2
84,24,0,0,1286,288
85,2,0,0,1290,186
86,0,0,NaN,1303,2271
87,1,0,0,1318,632
88,4,0,0,1322,7
89,21,0,0,1360,24
90,0,0,NaN,1375,7
91,0,0,NaN,1394,1427
92,1,0,0,1407,323
93,0,0,NaN,1411,770
94,0,0,NaN,1426,962
95,0,0,NaN,1430,2059
96,4,0,0,1445,1955
97,11,0,0,1464,328
98,5,0,0,1479,61
99,0,0,NaN,1746,4174
100,3,0,0,1750,2722
101,0,0,NaN,1799,2271
102,0,0,NaN,1835,2540
103,7,0,0,1854,1608
104,2,0,0,1869,2202
105,3,0,0,1873,2237
106,599,0,0,1888,1614
107,14,0,0,1905,1856
108,22,0,0,1924,1627
109,166,0,0,1939,1476
110,4,0,0,1943,1388
111,0,0,NaN,1958,1022
112,493,0,0,1996,823
113,2116,0,0,2000,1053
114,152,0,0,2015,1146
115,238,0,0,2049,1898
116,287,1,0.00348432055749,2068,1212
117,169,0,0,2072,1378
118,76,0,0,2087,853
119,165,0,0,2091,601
120,569,1,0.00175746924429,2195,2910
121,117,0,0,2208,1794
122,136,0,0,2246,14443
123,375,6,0.016,2250,6061
124,183,1,0.00546448087432,2265,2968
125,222,0,0,2299,2839
126,117,0,0,2335,6062
127,138,1,0.00724637681159,2354,3270
128,143,1,0.00699300699301,2373,3047
129,1097,12,0.0109389243391,2388,4185
130,152,0,0,2405,3421
131,392,0,0,2443,3672
132,124,1,0.00806451612903,2458,2511
133,49,0,0,2462,737
134,357,0,0,2477,2982
135,32,0,0,2481,870
136,50,0,0,2509,2279
137,152,0,0,2513,900
138,96,0,0,2528,5911
139,2140,0,0,2532,2541
140,3723,3,0.000805801772764,2547,2286
141,292,0,0,2551,2357
142,242,0,0,2566,18
143,706,0,0,2570,10
144,156,0,0,2585,5372
145,243,0,0,2602,177
146,235,0,0,2617,5748
147,668,0,0,2621,7410
148,180,0,0,2636,1851
149,329,1,0.00303951367781,2640,3360
150,284,0,0,2655,1860
151,168,0,0,2706,5435
152,410,0,0,2710,8006
153,59,0,0,2744,56
154,221,0,0,2763,7242
155,348,0,0,2778,4472
156,469,0,0,2852,1
157,198,0,0,2886,3806
158,167,0,0,2890,2769
159,126,0,0,2903,3088
160,172,0,0,2918,2212
161,1101,0,0,2922,1331
162,377,1,0.0026525198939,2937,1606
163,328,0,0,2941,1522
164,160,0,0,2956,2410
165,881,7,0.00794551645857,2960,1352
166,766,5,0.0065274151436,2975,2909
167,335,0,0,2994,1849
168,260,0,0,3009,846
169,497,1,0.00201207243461,3013,820
170,3110,18,0.00578778135048,3028,386
171,697,0,0,3032,726
172,1879,2,0.0010643959553,3047,1105
173,1158,8,0.00690846286701,3051,2855
174,682,0,0,3066,1730
175,22,0,0,3070,2254
176,1354,4,0.00295420974889,3085,2515
177,586,1,0.00170648464164,3225,2371
178,2334,0,0,3244,4564
179,249,0,0,3259,3904
180,212,0,0,3263,3766
181,137,0,0,3278,4110
182,1475,7,0.00474576271186,3282,1770
183,204,0,0,3297,5231
184,195,0,0,3314,2781
185,43,0,0,3329,1898
186,63,0,0,3333,2509
187,95,0,0,3348,2843
188,122,0,0,3352,126
189,85,2,0.0235294117647,3367,918
190,618,0,0,3371,2021
191,114,0,0,3386,1812
