ageb,residentes,permanecen_en_ageb,proporcion,CVE_AGEB,POBTOT
0,37,0,0,0023,0
1,0,0,NaN,0042,2
2,0,0,NaN,0076,4
3,1,0,0,0080,685
4,6,0,0,0095,1254
5,2,0,0,0108,243
6,16,0,0,0112,1114
7,11,0,0,0131,1008
8,0,0,NaN,0146,0
9,2,0,0,0150,4
10,0,0,NaN,0199,102
11,4,0,0,0216,198
12,0,0,NaN,0220,10
13,0,0,NaN,0273,11
14,0,0,NaN,0288,29
15,1,0,0,0292,0
16,0,0,NaN,0305,29
17,0,0,NaN,0324,0
18,0,0,NaN,0339,722
19,0,0,NaN,0343,2379
20,0,0,NaN,0358,433
21,9,0,0,0362,382
22,43,0,0,0377,7
23,2,0,0,0381,70
24,27,0,0,0396,1211
25,0,0,NaN,0409,1141
26,48,0,0,0413,9
27,13,0,0,0428,6
28,10,0,0,0432,116
29,0,0,NaN,0466,351
30,2,0,0,0470,1267
31,0,0,NaN,0502,2162
32,4,0,0,0517,2589
33,10,0,0,0521,1736
34,0,0,NaN,0536,150
35,9,0,0,0540,603
36,9,0,0,0555,2350
37,3,0,0,0574,1066
38,1,0,0,0593,4763
39,5,0,0,0606,561
40,8,0,0,0610,664
41,4,0,0,0625,398
42,4,0,0,0644,229
43,27,0,0,0659,97
44,7,0,0,0663,483
45,459,0,0,0678,862
46,12,0,0,0682,25
47,166,0,0,0697,249
48,4,0,0,0714,320
49,7,0,0,0729,990
50,1,0,0,0733,0
51,5,0,0,0748,68
52,40,0,0,0752,0
53,0,0,NaN,0767,0
54,20,0,0,0771,46
55,11,0,0,0786,166
56,12,0,0,0790,1667
57,0,0,NaN,0803,1001
58,2,0,0,0818,0
59,0,0,NaN,0837,0
60,1,0,0,0841,0
61,1,0,0,0894,612
62,671,0,0,0907,3149
63,17,0,0,0911,318
64,43,0,0,0926,54
65,0,0,NaN,0945,1128
66,0,0,NaN,0964,0
67,30,0,0,1055,101
68,3,0,0,1074,1089
69,15,0,0,1089,0
70,1,0,0,1093,33
71,0,0,NaN,1106,99
72,19,0,0,1110,261
73,11,0,0,1125,770
74,0,0,NaN,1144,3061
75,1,0,0,1159,401
76,3,0,0,1163,0
77,14,0,0,1178,0
78,0,0,NaN,1197,281
79,1,0,0,1214,0
80,0,0,NaN,1233,1
81,0,0,NaN,1248,0
82,1,0,0,1267,0
83,0,0,NaN,1271,2
84,22,0,0,1286,288
85,1,0,0,1290,186
86,0,0,NaN,1303,2271
87,1,0,0,1318,632
88,3,0,0,1322,7
89,18,0,0,1360,24
90,0,0,NaN,1375,7
91,0,0,NaN,1394,1427
92,0,0,NaN,1407,323
93,0,0,NaN,1411,770
94,0,0,NaN,1426,962
95,1,0,0,1430,2059
96,5,0,0,1445,1955
97,12,0,0,1464,328
98,6,0,0,1479,61
99,0,0,NaN,1746,4174
100,3,0,0,1750,2722
101,0,0,NaN,1799,2271
102,0,0,NaN,1835,2540
103,7,0,0,1854,1608
104,1,0,0,1869,2202
105,2,0,0,1873,2237
106,595,0,0,1888,1614
107,9,0,0,1905,1856
108,20,0,0,1924,1627
109,168,0,0,1939,1476
110,2,0,0,1943,1388
111,1,0,0,1958,1022
112,421,0,0,1996,823
113,2239,0,0,2000,1053
114,136,0,0,2015,1146
115,195,0,0,2049,1898
116,249,0,0,2068,1212
117,143,0,0,2072,1378
118,61,0,0,2087,853
119,139,0,0,2091,601
120,553,1,0.00180831826401,2195,2910
121,94,0,0,2208,1794
122,117,0,0,2246,14443
123,349,1,0.00286532951289,2250,6061
124,158,1,0.00632911392405,2265,2968
125,189,0,0,2299,2839
126,108,0,0,2335,6062
127,126,0,0,2354,3270
128,143,0,0,2373,3047
129,1105,4,0.00361990950226,2388,4185
130,119,0,0,2405,3421
131,368,0,0,2443,3672
132,93,0,0,2458,2511
133,55,0,0,2462,737
134,338,0,0,2477,2982
135,26,0,0,2481,870
136,44,0,0,2509,2279
137,128,0,0,2513,900
138,76,0,0,2528,5911
139,2090,0,0,2532,2541
140,3847,0,0,2547,2286
141,262,0,0,2551,2357
142,192,0,0,2566,18
143,633,0,0,2570,10
144,124,0,0,2585,5372
145,177,0,0,2602,177
146,187,0,0,2617,5748
147,651,0,0,2621,7410
148,144,0,0,2636,1851
149,306,1,0.00326797385621,2640,3360
150,271,0,0,2655,1860
151,148,0,0,2706,5435
152,411,0,0,2710,8006
153,44,0,0,2744,56
154,185,0,0,2763,7242
155,308,0,0,2778,4472
156,456,0,0,2852,1
157,152,0,0,2886,3806
158,130,0,0,2890,2769
159,106,0,0,2903,3088
160,98,0,0,2918,2212
161,1087,0,0,2922,1331
162,385,0,0,2937,1606
163,268,0,0,2941,1522
164,113,0,0,2956,2410
165,839,1,0.00119189511323,2960,1352
166,789,1,0.00126742712294,2975,2909
167,284,0,0,2994,1849
168,220,0,0,3009,846
169,547,0,0,3013,820
170,3187,3,0.000941324129275,3028,386
171,601,0,0,3032,726
172,1818,0,0,3047,1105
173,1171,2,0.00170794192997,3051,2855
174,696,0,0,3066,1730
175,17,0,0,3070,2254
176,1280,0,0,3085,2515
177,530,0,0,3225,2371
178,2392,0,0,3244,4564
179,194,0,0,3259,3904
180,179,0,0,3263,3766
181,108,0,0,3278,4110
182,1576,1,0.000634517766497,3282,1770
183,177,0,0,3297,5231
184,152,0,0,3314,2781
185,29,0,0,3329,1898
186,53,0,0,3333,2509
187,74,0,0,3348,2843
188,100,0,0,3352,126
189,63,1,0.015873015873,3367,918
190,640,0,0,3371,2021
191,114,0,0,3386,1812
192,151,0,0,3390,3881
193,791,0,0,3418,2341
194,529,0,0,3422,2808
195,66,0,0,3437,2714
196,201,0,0,3441,1644
197,1712,0,0,3456,2073
198,148,0,0,3460,3751
199,206,0,0,4844,4316
200,198,0,0,4859,2402
201,161,0,0,4863,8169
202,157,0,0,4878,231
203,179,0,0,4914,1511
204,15,0,0,4929,2278
205,500,1,0.002,4933,2482
206,25,0,0,4948,2704
207,15,0,0,4952,2275
208,28,0,0,4967,4061
209,59,0,0,4971,2244
210,107,0,0,4986,2004
211,19,0,0,4990,3141
212,1029,1,0.000971817298348,5005,5
213,223,0,0,5039,3804
214,54,1,0.0185185185185,5043,2588
215,75,0,0,5058,2447
216,55,0,0,5062,2458
217,196,0,0,5077,1289
218,142,0,0,5081,1156
219,132,0,0,5096,2016
220,126,0,0,5109,1521
221,85,0,0,5113,2636
222,46,0,0,5128,2824
223,393,0,0,5132,3356
224,201,0,0,5151,2472
