ageb,residentes,permanecen_en_ageb,proporcion,CVE_AGEB,POBTOT
0,43,0,0,0023,0
1,0,0,NaN,0042,2
2,0,0,NaN,0076,4
3,1,0,0,0080,685
4,6,0,0,0095,1254
5,2,0,0,0108,243
6,8,0,0,0112,1114
7,10,0,0,0131,1008
8,0,0,NaN,0146,0
9,3,0,0,0150,4
10,0,0,NaN,0199,102
11,9,0,0,0216,198
12,1,0,0,0220,10
13,0,0,NaN,0273,11
14,0,0,NaN,0288,29
15,1,0,0,0292,0
16,0,0,NaN,0305,29
17,0,0,NaN,0324,0
18,0,0,NaN,0339,722
19,0,0,NaN,0343,2379
20,0,0,NaN,0358,433
21,13,0,0,0362,382
22,37,0,0,0377,7
23,0,0,NaN,0381,70
24,29,0,0,0396,1211
25,0,0,NaN,0409,1141
26,45,0,0,0413,9
27,12,0,0,0428,6
28,6,0,0,0432,116
29,0,0,NaN,0466,351
30,5,0,0,0470,1267
31,0,0,NaN,0502,2162
32,2,0,0,0517,2589
33,12,0,0,0521,1736
34,1,0,0,0536,150
35,12,0,0,0540,603
36,11,0,0,0555,2350
37,3,0,0,0574,1066
38,0,0,NaN,0593,4763
39,5,0,0,0606,561
40,7,0,0,0610,664
41,7,0,0,0625,398
42,3,0,0,0644,229
43,27,0,0,0659,97
44,8,0,0,0663,483
45,461,0,0,0678,862
46,7,0,0,0682,25
47,80,0,0,0697,249
48,3,0,0,0714,320
49,10,0,0,0729,990
50,0,0,NaN,0733,0
51,4,0,0,0748,68
52,34,0,0,0752,0
53,1,0,0,0767,0
54,16,0,0,0771,46
55,11,0,0,0786,166
56,14,0,0,0790,1667
57,1,0,0,0803,1001
58,0,0,NaN,0818,0
59,0,0,NaN,0837,0
60,0,0,NaN,0841,0
61,1,0,0,0894,612
62,505,0,0,0907,3149
63,17,0,0,0911,318
64,32,0,0,0926,54
65,0,0,NaN,0945,1128
66,0,0,NaN,0964,0
67,0,0,NaN,1055,101
68,1,0,0,1074,1089
69,13,0,0,1089,0
70,0,0,NaN,1093,33
71,0,0,NaN,1106,99
72,13,0,0,1110,261
73,11,0,0,1125,770
74,0,0,NaN,1144,3061
75,3,0,0,1159,401
76,6,0,0,1163,0
77,15,0,0,1178,0
78,0,0,NaN,1197,281
79,0,0,NaN,1214,0
80,0,0,NaN,1233,1
81,0,0,NaN,1248,0
82,1,0,0,1267,0
83,0,0,NaN,1271,2
84,17,0,0,1286,288
85,4,0,0,1290,186
86,0,0,NaN,1303,2271
87,0,0,NaN,1318,632
88,2,0,0,1322,7
89,11,0,0,1360,24
